X;Y;facility_id;facility_name;facility_other_names;sub_site_name;sub_site_other_names;facility_type;primary_commodity;commodities_products;facility_equipment;production_start;production_end;activity_status;activity_status_year;surface_area_sq_km;concession_area_sq_km;country;GID_0;GID_1;GID_2;GID_3;GID_4;source_id;comment;;;;;
-49.75296238;-6.240522441;COM00051.00;Antas;Mina Antas Norte;;;Mine;Copper;Copper, Gold;Open pit, Underground;2016;;;;;;Brazil;BRA;BRA.14_1;BRA.14.42_1;BRA.14.42.1_1;;det_1454;;;;;;
-105.3584419;43.47457184;COM00052.00;Antelope;;;;Mine;Coal;Thermal coal;Surface;;;;;;;United States of America;USA;USA.51_1;USA.51.5_1;;;det_1077;;;;;;
87.31212157;53.8764124;COM00053.00;Antonovskaya;;;;Mine;Coal;Coking coal;Underground;;;;;;;Russian Federation;RUS;RUS.27_1;RUS.27.20_1;RUS.27.20.1_1;;det_1561;;;;;;
-69.8374174;-22.62911829;COM00054.00;Antucoya;;;;Mine;Copper;Copper, Copper cathodes;;2016;;;;;;Chile;CHL;CHL.2_1;CHL.2.3_1;CHL.2.3.1_1;;det_1172;;;;;;
-46.85053525;-19.84156702;COM00056.00;Araxa;;;;Mine, Refinery;Other mine;Phosphate;Open pit;;;;;;;Brazil;BRA;BRA.13_1;BRA.13.804_1;BRA.13.804.1_1;;det_1161;;;;;;
-46.90970839;-19.66568665;COM00057.00;Araxa CBBM;;;;Mine, Refinery;Other mine;Niobium, Ferroniobium;Open pit;;;;;;;Brazil;BRA;BRA.13_1;BRA.13.43_1;BRA.13.43.1_1;;det_1388;;;;;;
8.693015535;53.14261378;COM00058.00;ArcelorMittal Bremen;;;;Smelter, Refinery;Processing;Steel, steel slab, hot-rolleds steel, pickled steel, cold-rolled steel, hot dip galvanized rolls;Sinter plant, blast furnace, basic oxygen converter, ladle furnace, continuous slab caster, hot strip mill, tandem mill, temper mill, hot dip galvanizing line,;;;;;;;Germany;DEU;DEU.5_1;DEU.5.1_1;DEU.5.1.1_1;DEU.5.1.1.1_1;det_1219;;;;;;
-81.66598494;41.46476157;COM00059.00;ArcelorMittal Cleveland;;;;Smelter, Refinery;Processing;Steel;Blast furnace, basic oxygen furnaces, slab casters, hot-strip mill, cold rolling mill, temper mill, hot dip galvanizing line;;;;;;;United States of America;USA;USA.36_1;USA.36.18_1;;;det_1219;;;;;;
6.743519192;51.46461689;COM00060.00;ArcelorMittal Duisburg steel plant;;;;Smelter, Refinery;Processing;Steel, steel billet, steel bloom, steel bar, wire rod;Basic oxygen converter, bloom caster, billet caster, billet mill, wire rod mill;;;;;;;Germany;DEU;DEU.10_1;DEU.10.8_1;DEU.10.8.1_1;DEU.10.8.1.1_1;det_1219;;;;;;
-2.425794806;43.10392674;COM00061.00;ArcelorMittal Gipuzkoa;ArcelorMittal Olaberria-Bergara;;;Smelter, Refinery;Processing;Steel;Electric arc furnace, continuous casters, section rolling mill, wire rod rolling mill, bar rolling mill;;;;;;;Spain;ESP;ESP.16_1;ESP.16.2_1;ESP.16.2.1_1;ESP.16.2.1.27_1;det_1219;;;;;;
9.902623544;53.52505132;COM00062.00;ArcelorMittal Hamburg steel plant;;;;Smelter, Refinery;Processing;Steel, steel billet, wire rod;DRI production facility (MIDREX), electric arc furnace, billet caster, wire rod mill, stretching plant;;;;;;;Germany;DEU;DEU.6_1;DEU.6.1_1;DEU.6.1.1_1;DEU.6.1.1.1_1;det_1219;;;;;;
-40.25436806;-20.22915884;COM00063.00;ArcelorMittal Tubarao;;;;Smelter, Refinery;Processing;Steel, steel slab, hot-rolled coils;Coke plant, sinter plant, blast furnace, basic oxygen furnace converter, slab casters, hot strip mill;;;;;;;Brazil;BRA;BRA.8_1;BRA.8.70_1;BRA.8.70.2_1;;det_1219;;;;;;
20.91529008;52.29360882;COM00064.00;ArcelorMittal Warszawa steel plant;AM Warszawa;;;Smelter, Refinery;Processing;Steel, steel bar, steel rebar;Electric arc furnace, continuous caster, rolling mill;;;;;;;Poland;POL;POL.7_1;POL.7.36_1;POL.7.36.1_1;;det_1221;;;;;;
128.3850445;-16.72028597;COM00067.00;Argyle;;;;Mine;Other mine;Diamonds;;1983;;;;;;Australia;AUS;AUS.11_1;AUS.11.137_1;;;det_1065;;;;;;
29.77470319;-25.92977966;COM00068.00;Arnot;;;;Mine;Coal;Thermal coal;;;;;;;;South Africa;ZAF;ZAF.6_1;ZAF.6.3_1;ZAF.6.3.4_1;ZAF.6.3.4.27_1;det_1550;;;;;;
81.7826043;50.6000173;COM00069.00;Artemyevsky;;;;Mine;Zinc;Copper, Zinc, Gold, Silver;Underground;;;active;2019;;;Kazakhstan;KAZ;KAZ.5_1;KAZ.5.11_1;;;det_1121;;;;;;
-71.1645917;48.42962636;COM00070.00;Arvida;;;;Smelter;Processing;Aluminium billet, Molten metal, Remelt;;1954;;;;;;Canada;CAN;CAN.11_1;CAN.11.53_1;CAN.11.53.4_1;;det_1065;;;;;;
115.1061942;-3.874016675;COM00071.00;Asam-Asam;;;;Mine;Coal;Sub-bituminous coal;Open pit;;;;;;;Indonesia;IDN;IDN.13_1;IDN.13.12_1;IDN.13.12.5_1;IDN.13.12.5.2_1;det_1510;Part of Bumi's subsidiary PT Arutmin Indonesia (Arutmin);;;;;
86.33854831;48.28967703;COM00072.00;Ashele;Xinjiang Ashele Copper Co, Xinjiang Ashele;;;Mine;Copper;Copper, Zinc, Silver;Underground;2004;;;;;;China;CHN;CHN.28_1;CHN.28.2_1;CHN.28.2.5_1;;det_1324;;;;;;
71.50994095;52.70996297;COM00073.00;Atansore;;;;Mine;Iron;Iron;Open pit;;;;;;;Kazakhstan;KAZ;KAZ.2_1;KAZ.2.7_1;;;det_1218;;;;;;
71.66921131;48.68066638;COM00074.00;Atasu;West Karazhal;;;Mine;Iron;Iron;Underground;1976;;;;;;Kazakhstan;KAZ;KAZ.9_1;KAZ.9.9_1;;;det_1218;;;;;;
-6.949364541;37.22772129;COM00075.00;Atlantic Copper;;;;Smelter, Refinery;Processing;Copper cathode, Copper anode;;;;;;;;Spain;ESP;ESP.1_1;ESP.1.5_1;ESP.1.5.4_1;ESP.1.5.4.6_1;det_1167;;;;;;
-9.060873788;52.62844804;COM00076.00;Aughinish Alumina;Aughinish Alumina Refinery;;;Refinery;Processing;Alumina, Alumina hydrate;Bayer process plant;1983;;;;;;Ireland;IRL;IRL.13_1;;;;det_1286;;;;;;
115.4727195;-30.64693186;COM00077.00;Australia Sands;Tiwest, Ticor Australia;;;Mine;Iron;Zircon, Rutile, Ilmenite;;;;;;;;Australia;AUS;AUS.11_1;AUS.11.37_1;;;det_1109;;;;;;
37.70676126;48.1674473;COM00078.00;Avdiivka Coke;PrJSC Avdiivka Coke Plant;;;Refinery;Processing;Coke;;;;;;;;Ukraine;UKR;UKR.6_1;UKR.6.9_1;;;det_1226;;;;;;
